,home_team,away_team,home_goals,away_goals,result
0,Burnley,Manchester City,0.0,3.0,A
1,Arsenal,Nottingham Forest,2.0,1.0,H
2,Bournemouth,West Ham United,1.0,1.0,D
3,Brighton & Hove Albion,Luton Town,4.0,1.0,H
4,Everton,Fulham,0.0,1.0,A
5,Sheffield United,Crystal Palace,0.0,1.0,A
6,Newcastle United,Aston Villa,5.0,1.0,H
7,Brentford,Tottenham Hotspur,2.0,2.0,D
8,Chelsea,Liverpool,1.0,1.0,D
9,Manchester United,Wolverhampton Wanderers,1.0,0.0,H
10,Nottingham Forest,Sheffield United,2.0,1.0,H
11,Fulham,Brentford,0.0,3.0,A
12,Liverpool,Bournemouth,3.0,1.0,H
13,Wolverhampton Wanderers,Brighton & Hove Albion,1.0,4.0,A
14,Tottenham Hotspur,Manchester United,2.0,0.0,H
15,Manchester City,Newcastle United,1.0,0.0,H
16,Aston Villa,Everton,4.0,0.0,H
17,West Ham United,Chelsea,3.0,1.0,H
18,Crystal Palace,Arsenal,0.0,1.0,A
19,Chelsea,Luton Town,3.0,0.0,H
20,Bournemouth,Tottenham Hotspur,0.0,2.0,A
21,Arsenal,Fulham,2.0,2.0,D
22,Brentford,Crystal Palace,1.0,1.0,D
23,Everton,Wolverhampton Wanderers,0.0,1.0,A
24,Manchester United,Nottingham Forest,3.0,2.0,H
25,Brighton & Hove Albion,West Ham United,1.0,3.0,A
26,Burnley,Aston Villa,1.0,3.0,A
27,Sheffield United,Manchester City,1.0,2.0,A
28,Newcastle United,Liverpool,1.0,2.0,A
29,Luton Town,West Ham United,1.0,2.0,A
30,Sheffield United,Everton,2.0,2.0,D
31,Brentford,Bournemouth,2.0,2.0,D
32,Burnley,Tottenham Hotspur,2.0,5.0,A
33,Chelsea,Nottingham Forest,0.0,1.0,A
34,Manchester City,Fulham,5.0,1.0,H
35,Brighton & Hove Albion,Newcastle United,3.0,1.0,H
36,Crystal Palace,Wolverhampton Wanderers,3.0,2.0,H
37,Liverpool,Aston Villa,3.0,0.0,H
38,Arsenal,Manchester United,3.0,1.0,H
39,Wolverhampton Wanderers,Liverpool,1.0,3.0,A
40,Aston Villa,Crystal Palace,3.0,1.0,H
41,Fulham,Luton Town,1.0,0.0,H
42,Manchester United,Brighton & Hove Albion,1.0,3.0,A
43,Tottenham Hotspur,Sheffield United,2.0,1.0,H
44,West Ham United,Manchester City,1.0,3.0,A
45,Newcastle United,Brentford,1.0,0.0,H
46,Bournemouth,Chelsea,0.0,0.0,D
47,Everton,Arsenal,0.0,1.0,A
48,Nottingham Forest,Burnley,1.0,1.0,D
49,Crystal Palace,Fulham,0.0,0.0,D
50,Luton Town,Wolverhampton Wanderers,1.0,1.0,D
51,Manchester City,Nottingham Forest,2.0,0.0,H
52,Brentford,Everton,1.0,3.0,A
53,Burnley,Manchester United,0.0,1.0,A
54,Arsenal,Tottenham Hotspur,2.0,2.0,D
55,Brighton & Hove Albion,Bournemouth,3.0,1.0,H
56,Chelsea,Aston Villa,0.0,1.0,A
57,Liverpool,West Ham United,3.0,1.0,H
58,Sheffield United,Newcastle United,0.0,8.0,A
59,Aston Villa,Brighton & Hove Albion,6.0,1.0,H
60,Bournemouth,Arsenal,0.0,4.0,A
61,Everton,Luton Town,1.0,2.0,A
62,Manchester United,Crystal Palace,0.0,1.0,A
63,Newcastle United,Burnley,2.0,0.0,H
64,West Ham United,Sheffield United,2.0,0.0,H
65,Wolverhampton Wanderers,Manchester City,2.0,1.0,H
66,Tottenham Hotspur,Liverpool,2.0,1.0,H
67,Nottingham Forest,Brentford,1.0,1.0,D
68,Fulham,Chelsea,0.0,2.0,A
69,Luton Town,Burnley,1.0,2.0,A
70,Luton Town,Tottenham Hotspur,0.0,1.0,A
71,Burnley,Chelsea,1.0,4.0,A
72,Everton,Bournemouth,3.0,0.0,H
73,Fulham,Sheffield United,3.0,1.0,H
74,Manchester United,Brentford,2.0,1.0,H
75,Crystal Palace,Nottingham Forest,0.0,0.0,D
76,Brighton & Hove Albion,Liverpool,2.0,2.0,D
77,West Ham United,Newcastle United,2.0,2.0,D
78,Wolverhampton Wanderers,Aston Villa,1.0,1.0,D
79,Arsenal,Manchester City,1.0,0.0,H
80,Liverpool,Everton,2.0,0.0,H
81,Bournemouth,Wolverhampton Wanderers,1.0,2.0,A
82,Brentford,Burnley,3.0,0.0,H
83,Manchester City,Brighton & Hove Albion,2.0,1.0,H
84,Newcastle United,Crystal Palace,4.0,0.0,H
85,Nottingham Forest,Luton Town,2.0,2.0,D
86,Chelsea,Arsenal,2.0,2.0,D
87,Sheffield United,Manchester United,1.0,2.0,A
88,Aston Villa,West Ham United,4.0,1.0,H
89,Tottenham Hotspur,Fulham,2.0,0.0,H
90,Crystal Palace,Tottenham Hotspur,1.0,2.0,A
91,Chelsea,Brentford,0.0,2.0,A
92,Arsenal,Sheffield United,5.0,0.0,H
93,Bournemouth,Burnley,2.0,1.0,H
94,Wolverhampton Wanderers,Newcastle United,2.0,2.0,D
95,West Ham United,Everton,0.0,1.0,A
96,Aston Villa,Luton Town,3.0,1.0,H
97,Brighton & Hove Albion,Fulham,1.0,1.0,D
98,Liverpool,Nottingham Forest,3.0,0.0,H
99,Manchester United,Manchester City,0.0,3.0,A
100,Fulham,Manchester United,0.0,1.0,A
101,Brentford,West Ham United,3.0,2.0,H
102,Burnley,Crystal Palace,0.0,2.0,A
103,Everton,Brighton & Hove Albion,1.0,1.0,D
104,Manchester City,Bournemouth,6.0,1.0,H
105,Sheffield United,Wolverhampton Wanderers,2.0,1.0,H
106,Newcastle United,Arsenal,1.0,0.0,H
107,Nottingham Forest,Aston Villa,2.0,0.0,H
108,Luton Town,Liverpool,1.0,1.0,D
109,Tottenham Hotspur,Chelsea,1.0,4.0,A
110,Wolverhampton Wanderers,Tottenham Hotspur,2.0,1.0,H
111,Arsenal,Burnley,3.0,1.0,H
112,Crystal Palace,Everton,2.0,3.0,A
113,Manchester United,Luton Town,1.0,0.0,H
114,Bournemouth,Newcastle United,2.0,0.0,H
115,Aston Villa,Fulham,3.0,1.0,H
116,Brighton & Hove Albion,Sheffield United,1.0,1.0,D
117,Liverpool,Brentford,3.0,0.0,H
118,West Ham United,Nottingham Forest,3.0,2.0,H
119,Chelsea,Manchester City,4.0,4.0,D
120,Manchester City,Liverpool,1.0,1.0,D
121,Burnley,West Ham United,1.0,2.0,A
122,Luton Town,Crystal Palace,2.0,1.0,H
123,Newcastle United,Chelsea,4.0,1.0,H
124,Nottingham Forest,Brighton & Hove Albion,2.0,3.0,A
125,Sheffield United,Bournemouth,1.0,3.0,A
126,Brentford,Arsenal,0.0,1.0,A
127,Tottenham Hotspur,Aston Villa,1.0,2.0,A
128,Everton,Manchester United,0.0,3.0,A
129,Fulham,Wolverhampton Wanderers,3.0,2.0,H
130,Arsenal,Wolverhampton Wanderers,2.0,1.0,H
131,Brentford,Luton Town,3.0,1.0,H
132,Burnley,Sheffield United,5.0,0.0,H
133,Nottingham Forest,Everton,0.0,1.0,A
134,Newcastle United,Manchester United,1.0,0.0,H
135,Bournemouth,Aston Villa,2.0,2.0,D
136,Chelsea,Brighton & Hove Albion,3.0,2.0,H
137,Liverpool,Fulham,4.0,3.0,H
138,West Ham United,Crystal Palace,1.0,1.0,D
139,Manchester City,Tottenham Hotspur,3.0,3.0,D
140,Wolverhampton Wanderers,Burnley,1.0,0.0,H
141,Luton Town,Arsenal,3.0,4.0,A
142,Brighton & Hove Albion,Brentford,2.0,1.0,H
143,Crystal Palace,Bournemouth,0.0,2.0,A
144,Fulham,Nottingham Forest,5.0,0.0,H
145,Sheffield United,Liverpool,0.0,2.0,A
146,Aston Villa,Manchester City,1.0,0.0,H
147,Manchester United,Chelsea,2.0,1.0,H
148,Everton,Newcastle United,3.0,0.0,H
149,Tottenham Hotspur,West Ham United,1.0,2.0,A
150,Crystal Palace,Liverpool,1.0,2.0,A
151,Brighton & Hove Albion,Burnley,1.0,1.0,D
152,Manchester United,Bournemouth,0.0,3.0,A
153,Sheffield United,Brentford,1.0,0.0,H
154,Wolverhampton Wanderers,Nottingham Forest,1.0,1.0,D
155,Aston Villa,Arsenal,1.0,0.0,H
156,Everton,Chelsea,2.0,0.0,H
157,Fulham,West Ham United,5.0,0.0,H
158,Luton Town,Manchester City,1.0,2.0,A
159,Tottenham Hotspur,Newcastle United,4.0,1.0,H
160,Nottingham Forest,Tottenham Hotspur,0.0,2.0,A
161,Chelsea,Sheffield United,2.0,0.0,H
162,Manchester City,Crystal Palace,2.0,2.0,D
163,Newcastle United,Fulham,3.0,0.0,H
164,Burnley,Everton,0.0,2.0,A
165,Arsenal,Brighton & Hove Albion,2.0,0.0,H
166,Brentford,Aston Villa,1.0,2.0,A
167,West Ham United,Wolverhampton Wanderers,3.0,0.0,H
168,Liverpool,Manchester United,0.0,0.0,D
169,Crystal Palace,Brighton & Hove Albion,1.0,1.0,D
170,Aston Villa,Sheffield United,1.0,1.0,D
171,West Ham United,Manchester United,2.0,0.0,H
