,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Manchester City,28.0,5.0,31034.0,1.0,44.0,1.0,94.0,25072.0,600.0,51.0,19.0,70.0,471.0,391.0,4.0,298.0,13.0,60.0,0.0,20.0,13.0
Arsenal,26.0,6.0,27221.0,1.0,52.0,0.0,88.0,20450.0,593.0,56.0,15.0,50.0,568.0,567.0,1.0,378.0,14.0,95.0,0.0,22.0,14.0
Manchester United,23.0,9.0,25963.0,1.0,78.0,2.0,58.0,19086.0,593.0,80.0,20.0,71.0,657.0,734.0,3.0,293.0,17.0,101.0,1.0,15.0,12.0
Liverpool,19.0,9.0,29668.0,2.0,57.0,1.0,75.0,22401.0,605.0,84.0,16.0,78.0,590.0,540.0,4.0,414.0,14.0,114.0,1.0,23.0,17.0
Newcastle United,19.0,5.0,23411.0,2.0,62.0,2.0,68.0,16052.0,571.0,71.0,26.0,69.0,607.0,646.0,5.0,363.0,14.0,97.0,2.0,35.0,19.0
Aston Villa,18.0,13.0,22854.0,4.0,80.0,1.0,51.0,15940.0,431.0,58.0,21.0,40.0,631.0,663.0,8.0,371.0,12.0,109.0,1.0,65.0,7.0
Brighton & Hove Albion,18.0,12.0,27973.0,6.0,59.0,0.0,72.0,21280.0,613.0,70.0,16.0,69.0,616.0,412.0,2.0,324.0,12.0,85.0,2.0,27.0,9.0
Tottenham Hotspur,18.0,14.0,25036.0,1.0,75.0,3.0,70.0,18042.0,518.0,67.0,17.0,43.0,617.0,725.0,2.0,356.0,10.0,111.0,1.0,25.0,14.0
Brentford,15.0,9.0,20941.0,3.0,55.0,1.0,58.0,13920.0,408.0,72.0,10.0,51.0,588.0,770.0,6.0,336.0,12.0,154.0,0.0,53.0,10.0
Fulham,15.0,16.0,23447.0,2.0,80.0,1.0,55.0,16197.0,429.0,60.0,15.0,30.0,626.0,714.0,4.0,379.0,9.0,146.0,1.0,36.0,9.0
Bournemouth,11.0,21.0,21209.0,3.0,69.0,0.0,37.0,13931.0,358.0,38.0,5.0,27.0,618.0,971.0,2.0,367.0,8.0,136.0,0.0,41.0,20.0
Chelsea,11.0,16.0,28616.0,3.0,77.0,3.0,38.0,21149.0,484.0,74.0,15.0,52.0,740.0,628.0,9.0,381.0,10.0,116.0,0.0,24.0,19.0
Crystal Palace,11.0,15.0,23236.0,4.0,80.0,3.0,40.0,15707.0,426.0,58.0,10.0,24.0,690.0,788.0,2.0,457.0,9.0,116.0,0.0,30.0,24.0
West Ham United,11.0,20.0,21571.0,1.0,44.0,0.0,42.0,14638.0,474.0,62.0,16.0,33.0,608.0,779.0,3.0,357.0,9.0,117.0,1.0,31.0,15.0
Wolverhampton Wanderers,11.0,19.0,23864.0,1.0,84.0,6.0,31.0,16712.0,412.0,62.0,6.0,28.0,660.0,780.0,8.0,326.0,11.0,119.0,2.0,48.0,10.0
Leicester City,9.0,22.0,24341.0,5.0,59.0,2.0,51.0,17365.0,418.0,83.0,13.0,49.0,699.0,723.0,2.0,313.0,7.0,116.0,1.0,36.0,8.0
Nottingham Forest,9.0,18.0,19028.0,0.0,84.0,0.0,38.0,12091.0,368.0,67.0,8.0,28.0,660.0,892.0,7.0,274.0,8.0,115.0,2.0,35.0,22.0
Everton,8.0,18.0,21486.0,0.0,79.0,2.0,35.0,14152.0,429.0,64.0,6.0,47.0,708.0,829.0,8.0,300.0,9.0,128.0,1.0,23.0,20.0
Leeds United,7.0,21.0,22988.0,1.0,84.0,3.0,48.0,15160.0,462.0,60.0,6.0,37.0,840.0,709.0,9.0,421.0,5.0,110.0,0.0,36.0,28.0
Southampton,6.0,25.0,22393.0,5.0,73.0,0.0,36.0,14796.0,417.0,57.0,11.0,30.0,714.0,826.0,9.0,401.0,4.0,83.0,1.0,42.0,17.0
